country,fulfill via,shipment mode,scheduled delivery date,delivered to client date,vendor,dosage form,manufacturing site,line item value,weight (kilograms),delivered late
South Africa,Direct Drop,Air,2009-04-07,2008-12-03,S. BUYS WHOLESALER,Tablet,"Cipla, Goa, India",49840.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-04-07,2008-12-03,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",3588.48,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-05-05,2008-12-23,S. BUYS WHOLESALER,Powder for oral solution,"BMS Meymac, France",1152.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-05-12,2008-12-30,S. BUYS WHOLESALER,Oral solution,GSK Mississauga (Canada),10512.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-03-31,2008-11-21,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",3384.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-21,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",1954.9,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-06-25,2009-06-05,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",16642.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-06-17,S. BUYS WHOLESALER,Oral solution,"Aurobindo Unit III, India",1932.3,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-08-19,2009-08-19,S. BUYS WHOLESALER,Capsule,"BMS Meymac, France",10665.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-14,S. BUYS WHOLESALER,Tablet,ABBVIE Ludwigshafen Germany,134385.3,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-29,S. BUYS WHOLESALER,Tablet,GSK Aranda,80640.0,Weight Captured Separately,False
South Africa,Direct Drop,Air,2009-06-25,2009-04-20,S. BUYS WHOLESALER,Capsule,"Aurobindo Unit III, India",35016.0,Weight Captured Separately,False
Botswana,Direct Drop,Air,2009-11-13,2009-11-13,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",7000.0,48,False
Côte d'Ivoire,Direct Drop,Air,2009-06-30,2009-06-30,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tablet,ABBVIE Ludwigshafen Germany,420864.0,2523,False
Côte d'Ivoire,Direct Drop,Air,2009-07-22,2009-07-22,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Capsule,ABBVIE (Abbott) Logis. UK,15344.0,175,False
South Africa,Direct Drop,Truck,2009-07-31,2009-04-21,S. BUYS WHOLESALER,Oral solution,ABBVIE (Abbott) Logis. UK,1080.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-15,2009-04-17,S. BUYS WHOLESALER,Tablet - FDC,"Aspen-OSD, Port Elizabeth, SA",2816.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-05-15,2009-04-23,S. BUYS WHOLESALER,Tablet,"Aurobindo Unit III, India",19770.0,Weight Captured Separately,False
Haiti,Direct Drop,Air,2009-09-16,2009-09-16,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",21000.0,144,False
Kenya,Direct Drop,Air,2009-07-10,2009-07-10,"Orgenics, Ltd",Test kit,Inverness Japan,600000.0,2215,False
Nigeria,Direct Drop,Air,2009-08-18,2009-08-18,"Orgenics, Ltd",Test kit,Inverness Japan,511600.0,1915,False
Rwanda,Direct Drop,Air,2009-07-25,2009-07-25,HETERO LABS LIMITED,Tablet,Hetero Unit III Hyderabad IN,386384.88,4482,False
Côte d'Ivoire,Direct Drop,Air,2009-09-15,2009-09-15,BIO-RAD LABORATORIES (FRANCE),Test kit,Bio-Rad Laboratories,110000.0,1101,False
Vietnam,Direct Drop,Air,2009-07-17,2009-07-17,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Capsule,ABBVIE (Abbott) France,613.76,48,False
Vietnam,Direct Drop,Air,2009-07-10,2009-07-10,Aurobindo Pharma Limited,Tablet - FDC,"Aurobindo Unit III, India",39025.0,1804,False
Botswana,Direct Drop,Air,2009-06-12,2009-07-10,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",1750.0,12,True
Namibia,Direct Drop,Air,2009-09-01,2009-09-01,"Orgenics, Ltd",Test kit,Chembio Diagnostics Sys. Inc.,5025.0,48,False
Vietnam,Direct Drop,Air,2009-07-28,2009-07-28,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",2800.0,148,False
Namibia,Direct Drop,Air,2009-06-29,2009-06-29,"Trinity Biotech, Plc",Test kit,"Trinity Biotech, Plc",7040.0,79,False
South Africa,Direct Drop,Truck,2009-07-28,2009-07-28,S. BUYS WHOLESALER,Capsule,ABBVIE (Abbott) Logis. UK,490.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-10-12,2009-08-05,S. BUYS WHOLESALER,Tablet,"Aurobindo Unit III, India",41300.0,Weight Captured Separately,False
South Africa,Direct Drop,Truck,2009-10-12,2009-07-28,S. BUYS WHOLESALER,Oral solution,GSK Mississauga (Canada),2838.2,Weight Captured Separately,False
Côte d'Ivoire,Direct Drop,Air,2006-06-27,2006-06-27,BIO-RAD LABORATORIES (FRANCE),Test kit,Bio-Rad Laboratories,11076.45,165,False
Côte d'Ivoire,Direct Drop,Air,2006-07-14,2006-07-14,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",2400.0,15,False
Vietnam,Direct Drop,Air,2006-11-16,2006-11-16,BRISTOL-MYERS SQUIBB,Chewable/dispersible tablet,"BMS Meymac, France",19600.0,555,False
Haiti,Direct Drop,Air,2006-11-09,2006-11-09,Orasure Technologies Inc.,Test kit,"Pacific Biotech, Thailand",6000.0,36,False
Zimbabwe,Direct Drop,Air,2006-11-07,2006-11-07,INTERNATIONAL HEALTHCARE DISTRIBUTORS,Capsule,ABBVIE (Abbott) St. P'burg USA,11096.8,135,False
Nigeria,Direct Drop,Air,2006-12-07,2006-12-07,Aurobindo Pharma Limited,Tablet,"Aurobindo Unit III, India",2994.9,479,False
Vietnam,Direct Drop,Air,2007-03-14,2007-03-14,CIPLA LIMITED,Tablet - FDC,"Cipla, Goa, India",276100.0,2575,False
